127.0.0.1 - - [16/Apr/2019:10:34:39 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:34:44 +0530] "GET /demo/NewFile.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:34:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:35:10 +0530] "GET /demo/NewFile.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:35:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:37:09 +0530] "GET /demo/NewFile.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:37:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:37:32 +0530] "GET /demo/NewFile.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:37:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:38:30 +0530] "GET /demo/NewFile.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:38:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:39:43 +0530] "GET /databookusing_jsp/index.jsp HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:39:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:39:54 +0530] "GET /databookusing_jsp/signup.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:43:15 +0530] "POST /databookusing_jsp/SignupValidator.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:43:18 +0530] "GET /databookusing_jsp/login.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:45:18 +0530] "POST /databookusing_jsp/loginverfication.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:45:30 +0530] "POST /databookusing_jsp/loginverfication.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:45:36 +0530] "POST /databookusing_jsp/loginverfication.jsp HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:46:07 +0530] "GET /databookusing_jsp/login.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:46:15 +0530] "POST /databookusing_jsp/loginverfication.jsp HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:46:26 +0530] "POST /databookusing_jsp/loginverfication.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:51:27 +0530] "GET /demo/NewFile.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:52:43 +0530] "GET /demo/NewFile.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Apr/2019:10:52:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
