127.0.0.1 - - [20/Jun/2019:17:25:43 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:44 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 200 41116
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/css/font-awesome.css HTTP/1.1" 200 33233
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/css/jquery.fancybox.css HTTP/1.1" 200 4957
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/css/slick.css HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/css/style.css HTTP/1.1" 200 63047
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/css/theme-color/default-theme.css HTTP/1.1" 200 8815
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/js/slick.js HTTP/1.1" 200 80214
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/js/bootstrap.js HTTP/1.1" 200 68954
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/js/waypoints.js HTTP/1.1" 200 13569
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/js/jquery.counterup.js HTTP/1.1" 200 2576
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/js/jquery.mixitup.js HTTP/1.1" 200 52224
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/js/jquery.fancybox.pack.js HTTP/1.1" 200 23187
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/js/custom.js HTTP/1.1" 200 6914
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:25:45 +0530] "GET /ayush/Varsity/assets/img/slider/1.jpg HTTP/1.1" 200 30641
