127.0.0.1 - - [10/Jul/2019:13:11:44 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:24 +0530] "GET /kartikey2/web/index.html HTTP/1.1" 200 19854
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:38 +0530] "GET /kartikey2/web/css/slider.css HTTP/1.1" 200 5287
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:38 +0530] "GET /kartikey2/web/js/jquery.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:38 +0530] "GET /kartikey2/web/css/style.css HTTP/1.1" 200 44531
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:38 +0530] "GET /kartikey2/web/css/jquery.mmenu.all.css HTTP/1.1" 200 42050
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:38 +0530] "GET /kartikey2/web/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:38 +0530] "GET /kartikey2/web/js/jquery.eislideshow.js HTTP/1.1" 200 10331
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:38 +0530] "GET /kartikey2/web/js/jquery.mmenu.js HTTP/1.1" 200 22266
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:39 +0530] "GET /kartikey2/web/images/cakes/slide2.jpg HTTP/1.1" 200 540186
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:39 +0530] "GET /kartikey2/web/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:40 +0530] "GET /kartikey2/web/images/cakes/logo%20(1).jpg HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:41 +0530] "GET /kartikey2/web/images/icon_1.png HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:41 +0530] "GET /kartikey2/web/images/icon_4.png HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:41 +0530] "GET /kartikey2/web/images/icon_3.png HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:41 +0530] "GET /kartikey2/web/images/icon_2.png HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/slide4.jpg HTTP/1.1" 200 451703
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/slide5%20(2).jpg HTTP/1.1" 200 757103
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/slide5%20(1).jpg HTTP/1.1" 200 556844
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/slide7.jpg HTTP/1.1" 200 293460
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/slide3.jpg HTTP/1.1" 200 188122
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/slide6.jpg HTTP/1.1" 200 537952
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/20%20(1).jpg HTTP/1.1" 200 581282
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/20%20(2).jpg HTTP/1.1" 200 589778
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:42 +0530] "GET /kartikey2/web/images/cakes/slide5%20(3).jpg HTTP/1.1" 200 442006
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:43 +0530] "GET /kartikey2/web/images/cakes/a11.jpg HTTP/1.1" 200 66188
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:43 +0530] "GET /kartikey2/web/images/cakes/a12.jpg HTTP/1.1" 200 15431
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:43 +0530] "GET /kartikey2/web/images/cakes/a13.jpg HTTP/1.1" 200 36416
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:43 +0530] "GET /kartikey2/web/images/cakes/a14.jpg HTTP/1.1" 200 31016
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:43 +0530] "GET /kartikey2/web/images/cakes/a15.jpg HTTP/1.1" 200 22282
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:44 +0530] "GET /kartikey2/web/images/cakes/a16.jpg HTTP/1.1" 200 16556
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:44 +0530] "GET /kartikey2/web/images/f_pic1.jpg HTTP/1.1" 200 8210
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:44 +0530] "GET /kartikey2/web/images/f_pic2.jpg HTTP/1.1" 200 7278
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:44 +0530] "GET /kartikey2/web/images/art.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:44 +0530] "GET /kartikey2/web/images/cart.png HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:44 +0530] "GET /kartikey2/web/images/search.png HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/top-move.jpg HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/f_pic3.jpg HTTP/1.1" 200 8140
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/nav-icon.png HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/icon1.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/f_pic4.jpg HTTP/1.1" 200 7344
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/icon5.png HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/icon2.png HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/icon3.png HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/icon4.png HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/f_pic5.jpg HTTP/1.1" 200 6881
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /kartikey2/web/images/f_pic6.jpg HTTP/1.1" 200 7702
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:12:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/fetchdetails.jsp?i=1 HTTP/1.1" 200 18436
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/css/productviewgallery.css HTTP/1.1" 200 24387
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/js/productviewgallery.js HTTP/1.1" 200 19682
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/images/facebook.png HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/images/Ldynamic/a1.jpg HTTP/1.1" 200 274031
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/images/twitter.png HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/images/rss.png HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/images/gpluse.png HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:37 +0530] "GET /kartikey2/web/js/jquery.fancybox.pack.js HTTP/1.1" 200 21710
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:38 +0530] "GET /kartikey2/web/images/Ldynamic/a14.jpg HTTP/1.1" 200 433510
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:38 +0530] "GET /kartikey2/web/images/Ldynamic/a6.jpg HTTP/1.1" 200 342635
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:38 +0530] "GET /kartikey2/web/js/cloud-zoom.1.0.3.min.js HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:38 +0530] "GET /kartikey2/web/images/Ldynamic/a15.jpg HTTP/1.1" 200 266927
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:38 +0530] "GET /kartikey2/web/images/loading.gif HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:38 +0530] "GET /kartikey2/web/images/arrow-next.png HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [10/Jul/2019:13:13:38 +0530] "GET /kartikey2/web/js/blank.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:03:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:20 +0530] "GET /kartikey2/web/fetchdetails.jsp?i=5 HTTP/1.1" 200 18497
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:21 +0530] "GET /kartikey2/web/images/loading.gif HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:21 +0530] "GET /kartikey2/web/images/Ldynamic/a5.jpg HTTP/1.1" 200 158247
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:21 +0530] "GET /kartikey2/web/images/Ldynamic/a11.jpg HTTP/1.1" 200 330917
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:21 +0530] "GET /kartikey2/web/images/Ldynamic/a8.jpg HTTP/1.1" 200 299866
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:21 +0530] "GET /kartikey2/web/images/Ldynamic/a3.jpg HTTP/1.1" 200 256969
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:21 +0530] "GET /kartikey2/web/js/blank.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:35 +0530] "GET /kartikey2/web/fetchdetails.jsp?i=2 HTTP/1.1" 200 18432
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:35 +0530] "GET /kartikey2/web/images/Ldynamic/a2.jpg HTTP/1.1" 200 110557
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:35 +0530] "GET /kartikey2/web/images/Ldynamic/a12.jpg HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:35 +0530] "GET /kartikey2/web/images/loading.gif HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:35 +0530] "GET /kartikey2/web/js/blank.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:40 +0530] "GET /kartikey2/web/fetchdetails.jsp?i=11 HTTP/1.1" 200 18448
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:40 +0530] "GET /kartikey2/web/images/Ldynamic/a13.jpg HTTP/1.1" 200 467098
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:40 +0530] "GET /kartikey2/web/images/Ldynamic/a9.jpg HTTP/1.1" 200 321507
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:40 +0530] "GET /kartikey2/web/js/blank.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:44 +0530] "GET /kartikey2/web/about.html HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:44 +0530] "GET /kartikey2/web/images/about_pic.jpg HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:47 +0530] "GET /kartikey2/web/contact.html HTTP/1.1" 200 9180
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 200 10050
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/images/pic3.jpg HTTP/1.1" 200 20925
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/images/pic2.jpg HTTP/1.1" 200 22922
