127.0.0.1 - - [29/Jul/2020:13:08:23 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:40:18 +0530] "GET /GameStoreWebsite/admin/cra HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:40:18 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:40:18 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:40:18 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 200 24443
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:40:25 +0530] "GET /GameStoreWebsite/admin/ HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:00 +0530] "POST /GameStoreWebsite/admin/login HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:00 +0530] "GET /GameStoreWebsite/images/category.png HTTP/1.1" 200 9787
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:00 +0530] "GET /GameStoreWebsite/images/GamestoreAdminLogo.png HTTP/1.1" 200 17004
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:00 +0530] "GET /GameStoreWebsite/images/user.png HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:00 +0530] "GET /GameStoreWebsite/images/customer.png HTTP/1.1" 200 8800
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:00 +0530] "GET /GameStoreWebsite/images/game.png HTTP/1.1" 200 12684
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:00 +0530] "GET /GameStoreWebsite/images/review.png HTTP/1.1" 200 9932
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:00 +0530] "GET /GameStoreWebsite/images/order.png HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:41:04 +0530] "GET /GameStoreWebsite/admin/list_users HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:42:55 +0530] "GET /GameStoreWebsite/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:42:56 +0530] "GET /GameStoreWebsite/admin/ HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:43:08 +0530] "GET /GameStoreWebsite/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:43:08 +0530] "GET /GameStoreWebsite/admin/ HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:43:21 +0530] "GET /GameStoreWebsite/admin/list_users HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:43:47 +0530] "GET /GameStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:47:40 +0530] "GET /GameStoreWebsite/admin/ HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:47:40 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:47:40 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:47:40 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:48:30 +0530] "POST /GameStoreWebsite/admin/login HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:48:30 +0530] "GET /GameStoreWebsite/images/GamestoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:48:30 +0530] "GET /GameStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:48:30 +0530] "GET /GameStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:48:30 +0530] "GET /GameStoreWebsite/images/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:48:30 +0530] "GET /GameStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:48:30 +0530] "GET /GameStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2020:14:48:30 +0530] "GET /GameStoreWebsite/images/order.png HTTP/1.1" 304 -
