127.0.0.1 - - [04/Aug/2020:19:46:26 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:31 +0530] "GET /GameStoreWebsite/admin/login HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:39 +0530] "GET /GameStoreWebsite/admin/ HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:39 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:39 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:39 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 200 24443
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:47 +0530] "POST /GameStoreWebsite/admin/login HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:47 +0530] "GET /GameStoreWebsite/images/GamestoreAdminLogo.png HTTP/1.1" 200 17004
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:47 +0530] "GET /GameStoreWebsite/images/user.png HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:47 +0530] "GET /GameStoreWebsite/images/category.png HTTP/1.1" 200 9787
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:47 +0530] "GET /GameStoreWebsite/images/game.png HTTP/1.1" 200 12684
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:47 +0530] "GET /GameStoreWebsite/images/customer.png HTTP/1.1" 200 8800
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:47 +0530] "GET /GameStoreWebsite/images/review.png HTTP/1.1" 200 9932
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:47 +0530] "GET /GameStoreWebsite/images/order.png HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:50 +0530] "GET /GameStoreWebsite/admin/list_games HTTP/1.1" 200 33768
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:55 +0530] "GET /GameStoreWebsite/admin/new_game HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:55 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:48:55 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:54:56 +0530] "GET /GameStoreWebsite/admin/new_game HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:54:56 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:54:56 +0530] "GET /GameStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:54:56 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:54:56 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:54:56 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:54:56 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.css HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [04/Aug/2020:19:54:56 +0530] "GET /GameStoreWebsite/images/GamestoreAdminLogo.png HTTP/1.1" 304 -
